company,contact_name,email,phone,address,city,state,agency,bid_title,bid_number
"ACCO Engineered Systems, Inc.",Jennifer Harman,jharman@accoes.com,510-418-8603,5890 Owens Drive,Pleasanton,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
APS Environmental,Steven Hunt,shunt@apsenvironmental.com,916-800-9417,6643 32nd Street Suite 101,North Highlands,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
CA Traffic Solution,Gabriel Solis,g.solis@catrafficsolution.com,916-245-1768,,Sacramento,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
Cratus Inc.,Konrad Stoklosinski,estimating@cratusinc.com,415-939-2840,945 Taraval Street #302,San Francisco,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
Fluid Dynamics Plumbing,Michael,michael@fluiddynamicsplumbing.com,408-415-7024,128 E St John St,San Jose,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
"Golden Bay Construction, Inc.",Johnny Zanette,johnny@gbayinc.com,650-222-0838,3826 Depot Road,Hayward,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
HammerHead Trenchless,Mara Nugent,mnugent@hhtrenchless.com,920-648-4848,500 South CP Avenue,Lake Mills,Wisconsin,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
hd@exarotec.com,Arthur Servin,ase@exarotec.com,650-777-4324,1831 Bayshore Hwy,Burlingame,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
"J. McCabe Plumbing, Inc",Adrian Sarmento,adrian@jmccabeplumbing.com,408-691-2888,850 Camden Ave,Campbell,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
McGuire and Hester,Randy C. Somerday,estimating@mcguireandhester.com,510-632-7676,"9009 Railroad Avenue, Fax: 510-562-5209",Oakland,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
McLennan Construction,Maggie Manassero,mikemclennan@mclennanconstruction.com,408-718-9318,649 Distel Dr,Los Altos,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
Medical Facilities Solutions LLC,Estimating Team,estimating@mfsbuilds.com,408-352-5389,"234 East Gish Rd, Suite 100",San Jose,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
Mullis Insurance,David Mullis,dmullisinsurance@gmail.com,207-849-3266,1299 Boltonfield St,Columbus,Ohio,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
MZB Engineering Inc,Sheraz Gondal,info@mzbinc.com,949-254-4792,518 Queensland Cir #120,Corona,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
PACIFIC TRENCHLESS INC.,ALAN CASSERLY,pacifictrenchless@gmail.com,510-986-0244,"1776 11TH STREET, Fax: 510-986-0245",OAKLAND,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
PACIFIC UNDERGROUND CONSTRUCTION INC,Tina,tina@pacificunderground.com,408-977-1655 ext. 307,1817 Stone Ave.,San Jose,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
Pure Water,Charles,constructionsdepartment1@gmail.com,331-241-2121,"Suite 430, Sacramento , CA",Sacramento,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
"Rodan Builders, Inc.",Laurie Kaminski,lkaminski@rodanbuilders.com,650-508-1700,"3486 Investment Blvd., Suite B",Hayward,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
Sanact Inc,Evelyn Knight,Sanactpres@aol.com,209-972-0611,1015 Wakefield Road,Oakdale,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
SD Electric Inc,Nancy Negron,Nancy@sdelectricinc.com,209-832-0870,"2145 Elkins Way, Suite E",brentwood,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
SubTerra Construction,Andrew Chung,office@subterraconstruction.com,4155651244,"1485 Bayshore Blvd, MB240, STE440",San Francisco,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
Top rated builders,Eran,info@topratedbuilders.net,669-224-9184,4459 openmeadow ct,San jose,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
"V & H Perry, Inc",James Le Blanc,James@perryplumbingco.com,619-472-2112,PO Box 538,National City,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
Volition,Brad Payton,bpayton@volitionco.com,530-320-8566,"9732 State Rt 445, St #200",Sparks,Nevada,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
Westland Contractors Inc,Neil Hunt,info@westlandcontractorsinc.com,415-822-1791,1300 Carroll Avenue,San Francisco,California,City of Sunnyvale,Trenchless Sewer Line Repair At Sunnyvale Golf Course IFB,F26-253
California Waste Recovery Systems,Rudyvaccarezza,rudyvac@cal-waste.com,209-369-6887,175 Enterprise Ct,Galt,California,City of Sunnyvale,The Establishment of Construction and Demolition Material Processing Services RFP,F26-352
L&G Portable Crushing And Materials,Dalton Adams,adamsdalton51@gmail.com,951-265-9039,28465 Old Town Front St. Suite #325,Temecula,California,City of Sunnyvale,The Establishment of Construction and Demolition Material Processing Services RFP,F26-352
Midwest Valley Corp,COPPER LANE,midwestvalleycorp@gmail.com,888-888-0900,11417 N Copper Lane,KANSAS CITY,California,City of Sunnyvale,The Establishment of Construction and Demolition Material Processing Services RFP,F26-352
"Arborist Now, Inc.",Clint Stewart,clint@arboristnow.com,415-310-7781,"1485 Bayshore Blvd #127 Suite 329, San Francisco,",San Francisco,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
"Bortolussi & Watkin, Inc",Estimating,bids@bwatkin.com,415-453-4675,77 LARKSPUR STREET,SAN RAFAEL,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
BrightView,Vim Mahabir,Vim.Mahabir@brightview.com,951-406-5904,4055 Bohannon Dr,Menlo Park,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
Callander Associates Landscape Architecture Inc.,Biz-Dev,info@callanderassociates.com,650-375-1313,1633 Bayshore Highway Suite 133,Burlingame,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
DJC Oregon Project Center,Plan Room,plancenter@djcoregon.com,503-274-0624,"1618 SW 1st Ave., #400",Portland,Oregon,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
"EMTS, Inc.",Darin Sherlock,arianab@eliteteamoffices.com,559-292-2900,"1171 Partee Ln., Fax: 559-292-7756",Ceres,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
EV CONSTRUCTION AND LANDSCAPING,Eliud V Gonzalez,evconstructionandlandscaping@gmail.com,831-319-3566,146 Corralitos rd,Watsonville,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
Gates + Associates,Casey Case,marketing@dgates.com,925-736-8176 ext. 2000,"1655 N. Main St, Ste. 365",Walnut Creek,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
Golden Bay Area Landscaping Corp,Elder Lopez,Goldenbaylandscaping@gmail.com,650-290-2948,1102 Henderson Ave,Menlo Park,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
GovData Consulting LLC,John Smith,smqvaqyv@sharklasers.com,619-555-0100,123 Business Ave,San Diego,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
GovGuide,Connor Fusselman,rfp@yourgovguide.com,407-619-6738,1916 N Dinwiddie St.,Arlington,Virginia,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
Gray Bowen Scott,Janet McCue,janet@graybowenscott.com,925-937-0980,1320 Mt. Diablo Blvd,"Walnut Creek, CA",California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
"Greenfield Landscaping and Maintenance, Inc.",Valerie Martinez,Johnathan@gflandscaping.com,626-919-2792,"3129 S. Hacienda Blvd., #384",Hacienda Heights,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
"HELIX Environmental Planning, Inc.",Tiffany Thomson,TiffanyT@helixepi.com,619-462-1515,"1400 Rocky Ridge Dr, Suite 100",Roseville,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
info@mengineeringca.com,MOHAMED ELSAYED,info@mengineeringca.com,442-354-3421,"9898 SVL BOX, 13250 CANDLEBERRY LN",VICTORVILE,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
Landscape Pros ML INC,Dipak,didpak8256@gmail.com,408-920-7718,"20342, Silverado Ave, Suite 5B,",Cupertino,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
Marina Landscape Inc.,Hue Ta,estimator@marinaco.com,714-939-6600,3707 W Garden Grove Blvd,Orange,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
San Francisco Builders Exchange,Deanna Johnson,djohnsonsf@sbcglobal.net,415-282-8220,"850 S Van Ness Ave, Fax: 415-821-0363",San Francisco,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
"Scapes, Inc.",Sadeq Alnaggar,estimating@scapes.org,650-712-4460 ext. 1002,"12344 San Mateo Road, Fax: 650-712-4408",Half Moon Bay,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
SkyLandscape LLC,Skyler Brady,Bids@SkyLandscape.com,925-400-8868,231 Market Place Unit 730,San Ramon,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
"Skyline Landscapes, Inc.",Amy Quezadaz,skylinelandscapesinc@gmail.com,650-368-7400,P.O. Box 2714,Redwood City,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
Thomas Swift,Thomas Swift,thomas.swift@govbright.com,202-789-7110,700 Tysons Corner,Tysons,Virginia,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
Zoon Engineering,Saeed Shahmirzai,sshahmirzai@zoon-eng.com,650-450-3507,3960 Adeline Street # 3,Emeryville,California,City of Menlo Park,BID - Willow Road and Highway 101 Landscaping Project,2026-040626
A-Tech Consulting Inc,Joe Williams,bids@atechinc.net,714-434-6360,1640 N Batavia St,Orange,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
Aetypic,Alice Wong,info@aetypic.com,415-762-8388,111 New Montgomery,San Francisco,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
Bay Area Builders Exchange,Plan Room,planroom@bayareabx.com,510-483-8880,"3055 Alvarado Street, Fax: 510-352-1509",San Leandro,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
Biggs Cardosa Associates,Tricia Costella McGuirk,marketing@biggscardosa.com,408-296-5515 ext. 1167,"865 The Alameda, Fax: --",San Jose,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
"Bravo Building Co., Inc.",Gregory Di Loreto,gdl@bravobuildingco.com,925-432-1314,"PO Box 1130, Fax: 925-432-7103",Clayton,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
"CMI Contractors, Inc",Roger Lenz,roger@cmi4u.com,559-312-0588,920 Thornton Way,San Jose,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
Dimension Construction Inc,Joao Nicolau,dimensionus@gmail.com,510-275-3201,"2200 San Pablo Avenue, Suite 103, Fax: 510-275-0318",Pinole,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
"Drill Tech Drilling & Shoring, Inc.",Andres Melgoza,andres@drilltechdrilling.com,925-978-2060,"2200 Wymore Way, Fax: 925-978-2063",Antioch,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
"EDesignC, Inc.",Debbie Graham,marketing@edesignc.com,916-706-1618,"582 Market Street, Suite 400, Fax: 415-963-4341",San Francisco,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
ENGEO Incorporated,Jeff Fippin,jfippin@engeo.com,925-570-7970,"1630 San Pablo Avenue, Suite 200, 1630 San Pablo Avenue, Suite 200, Fax: --",San Ramon,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
"Farrell Design-Build Companies, Inc.",Jocelyn Vargas,bids@menardusa.com,530-621-4867,"3025 Venture Road, Fax: 530-621-4837",Placerville,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
Geo-Engineering Solutions Inc.,Eric J Swenson,ESwenson@geo-eng.net,925-433-0454,"2570 San Ramon Valley blvd, Suite A102",San Ramon,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
Ground Control Inc,Jae Shin,jae@groundci.com,415-508-8589,"1485 Bayshore Blvd., Suite 451",San Francisco,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
Haley & Aldrich,Grace Silverboard,BidSiteRFPS@haleyaldrich.com,925-935-9771,785 Ygnacio Valley Road,Walnut Creek,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
HLCM,Rodelyn,SLarsen@HLCMInc.com,949-430-9805,26171 Camino Adelanto,Mission Viejo,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
"JOSEPH J. ALBANESE, INC",Estimating,estimating@jjalbanese.com,408-727-5700 ext. 6253,"2450 Walsh Ave, Fax: 408-727-0366",SANTA CLARA,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
LCA Architects,Denise Youmans,dyoumans@lca-architects.com,925-944-1626 ext. 2725,"590 Ygnacio Valley Road, Suite 390",Walnut Creek,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
Lignum Mellis,OJ Cooney,oisin@lignummellis.com,312-483-9514,"2095 Jerrold Avenue, suite 316",San Francsico,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
mack5,Michelle Mohler,mmohler@mack5.com,510-595-3020,"1000 Broadway, Suite 260",Oakland,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
"Magdave Associates, Inc.",DAVID EDU,magdaveassoc@yahoo.com,510-633-7998,"303 Hegenberger Road, Suite 211, Fax: 510-633-2808",Oakland,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
Mid Valley Engineering,Lyndi Love,contracts@mve.net,866-526-4214,"1117 L Street, Fax: 209-526-0803",Modesto,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
"Miyamoto International, Inc.",Bindu Pall,com-marketing@miyamotointernational.com,833-270-8848,"650 California St, Floor 7",San Francisco,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
Ninyo & Moore Geotechnical & Environmental Sciences Consultants,Elizabeth Brooks,elizabeth.brooks@socotec.us,510-343-3000 ext. 15201,"1301 Marina Village Parkway, Suite 110",Alameda,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
"Parikh Consultants, Inc.",Rene Ramsay,RRamsay@PARIKHNET.COM,408-452-9000,"1497 N Milpitas Blvd, Fax: 408-452-9004",Milpitas,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
"Rincon Consultants, Inc",Monica Guzman-Waight,info@rinconconsultants.com,805-644-4455,"180 North Ashwood Avenue, Fax: 805-644-4455",Ventura,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
Rise Drilling,Jeremy Hynum,jeremyh@risedrilling.com,415-448-7510,"2100 4th Street, 310",San Rafael,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
"Salem Engineering Group, Inc.",Maria G. Ruvalcaba,maria@salem.net,559-271-9700,"4729 West Jacquelyn Avenue, Fax: 559-275-0827",Fresno,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
Shannon & Wilson,Catherine Ellis,catherine.ellis@shanwil.com,971-277-8945,4085 Nelson Avenue,Concord,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
"Shannon & Wilson, Inc.",Melinda Lois Webb,SoCal@shanwil.com,206-695-6752,"400 N. 34th Street, 2066956752, Fax: --",Seattle,Washington,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
sputhuff@haleyaldrich.com,Sophia Puthuff,sputhuff@haleyaldrich.com,925-935-9771,"201 N. Civic Drive, Suite 220",Walnut Creek,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
SWCA Environmental Consultants,Jaimie Jones,pasmktg@swca.com,650-440-4160,"60 Stone Pine Road, Suite 201, Fax: --",Half Moon Bay,California,City of Richmond,BUILDING FOUNDATION INVESTIGATION AND FOUNDATION REMEDIATION WORK AT CITY OF RICHMOND FIRE STATION NO. 63,
